Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
470,Kyle Schwarber*,30,PHI,NL,65,279,228,37,39,6,1,17,35,0,1,48,79,.171,.323,.430,.752,106,98,1,3,0,0,2,*7D,schwaky01
471,Tayler Scott,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,scottta02
472,Corey Seager*,29,TEX,AL,33,148,132,23,46,13,0,7,34,0,0,13,27,.348,.399,.606,1.005,174,80,2,0,0,3,0,6/D,seageco01
473,Jean Segura,33,MIA,NL,57,214,195,15,38,4,1,1,11,5,2,16,33,.195,.263,.241,.504,41,47,10,2,1,0,1,*5/H,segurje01
474,Marcus Semien,32,TEX,AL,64,300,267,57,79,20,2,9,51,7,1,28,45,.296,.361,.487,.848,133,130,1,1,0,3,1,*4,semiema01
475,Nick Senzel,28,CIN,NL,45,184,163,22,42,8,0,4,27,4,1,18,40,.258,.332,.380,.712,89,62,4,1,0,2,0,58/47H9,senzeni01
476,Brian Serven,28,COL,NL,10,23,23,0,3,1,0,0,1,0,0,0,10,.130,.130,.174,.304,-22,4,0,0,0,0,0,/2HD,servebr01
477,Paul Sewald,33,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sewalpa01
478,Gavin Sheets*,27,CHW,AL,49,153,136,15,31,2,0,7,22,0,0,15,27,.228,.301,.397,.698,91,54,2,0,0,2,2,9/DH37,sheetga01
479,Braden Shewmake*,25,ATL,NL,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/6,shewmbr01
480,Zack Short,28,DET,AL,30,70,62,7,17,2,0,3,12,1,0,7,18,.274,.343,.452,.794,120,28,0,0,0,1,0,4/H568D19,shortza01
481,Lucas Sims,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,simslu01
482,Jon Singleton*,31,MIL,NL,9,24,22,3,3,1,0,0,2,0,0,2,6,.136,.208,.182,.390,10,4,0,0,0,0,0,/3HD,singljo02
483,Jose Siri,27,TBR,AL,39,143,130,24,29,5,1,11,24,6,1,10,48,.223,.275,.531,.805,122,69,1,0,1,2,0,8/H,sirijo01
484,Austin Slater,30,SFG,NL,17,43,40,5,15,2,0,1,9,2,1,3,9,.375,.419,.500,.919,152,20,0,0,0,0,0,8/H7D,slateau01
